label,value
0,14706
1,10950
2,7046
3,4877
4,4420
5,3600
6,3486
7,4029
8,7318
9,18276
10,29166
11,34286
12,33563
13,29351
14,30385
15,38760
16,43415
17,45162
18,41652
19,32227
20,25005
21,19558
22,18612
23,17574
